iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
184,0,12,1379.42,12,1602.06,2,0,0,256.899,0.189644,0.244754,0.284419,0.281183,0.16985,0.203525,0.433377,0.193247
185,0,12,1379.42,12,1602.06,1,3,0,256.771,0.200022,0.25816,0.245225,0.296593,0.154233,0.207338,0.441563,0.196866
186,0,12,1379.42,12,1602.06,2,0,0,256.642,0.209251,0.223896,0.256551,0.310303,0.157949,0.212346,0.452295,0.17741
187,0,12,1379.42,12,1602.06,0,2,0,256.514,0.218596,0.233898,0.22332,0.324187,0.144646,0.215684,0.459476,0.180193
188,0,12,1379.42,12,1575.05,3,2,13,256.386,0.192164,0.241804,0.230866,0.335166,0.158338,0.236119,0.408286,0.197258
189,0,12,1379.42,12,1575.05,0,2,0,256.257,0.187696,0.236192,0.225506,0.350607,0.154072,0.229775,0.424201,0.191952
190,0,12,1379.42,12,1575.05,2,3,0,256.129,0.1672,0.242144,0.231186,0.359471,0.167265,0.249471,0.374866,0.208398
191,0,12,1379.42,12,1550.03,0,2,13,256.001,0.173062,0.250652,0.204156,0.37213,0.172033,0.256603,0.385614,0.18575
192,0,12,1379.42,12,1550.03,1,1,0,255.873,0.194587,0.244121,0.198829,0.362463,0.167459,0.249801,0.401925,0.180814
193,0,12,1379.42,12,1543.15,3,2,13,255.745,0.202016,0.215212,0.206422,0.37635,0.173704,0.221751,0.416986,0.187559
