Algoritmo,Instancia,Run,Vehiculos,Distancia,Iter_Convergencia,Tiempo_s
CLASSIC,rc201,7,4.0,1431.39,7196,4.914
CLASSIC,rc201,8,4.0,1436.0,4616,4.897
CLASSIC,rc201,9,4.0,1425.49,3424,5.05
CLASSIC,rc202,1,4.0,1237.2,13285,5.72
CLASSIC,rc202,10,4.0,1173.65,2823,5.691
CLASSIC,rc202,2,4.0,1213.94,527,5.593
CLASSIC,rc202,3,4.0,1173.03,8510,6.045
CLASSIC,rc202,4,4.0,1222.07,6535,6.146
CLASSIC,rc202,5,4.0,1162.8,5611,5.448
CLASSIC,rc202,6,4.0,1214.96,3307,6.159
CLASSIC,rc202,7,4.0,1192.32,3634,5.734
CLASSIC,rc202,8,4.0,1178.57,581,5.677
CLASSIC,rc202,9,4.0,1221.11,1649,5.632
